time,x,y
  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
  9.9999999999999672e-03, -3.7204946828850449e-05, -5.6870475305759308e-08
  2.0000000000000059e-02, -1.2343150262036917e-04,  2.3109601998833391e-07
  3.0000000000000346e-02, -2.2500911346966246e-04,  1.5735444934102867e-06
  4.0000000000000632e-02, -3.2388939984218101e-04,  3.5198199956858887e-06
  5.0000000000000919e-02, -4.1016442121084157e-04,  5.3495406304315349e-06
  6.0000000000001205e-02, -4.7851339518763247e-04,  6.3960839471874051e-06
  7.0000000000000451e-02, -5.2622405082323326e-04,  6.2124955108810102e-06
  7.9999999999999349e-02, -5.5213824498138303e-04,  4.6139574913190446e-06
  8.9999999999998248e-02, -5.5633966645735750e-04,  1.6563450721721045e-06
  9.9999999999997147e-02, -5.4016204209134111e-04, -2.4109384909591756e-06
  1.0999999999999605e-01, -5.0630119338408025e-04, -7.2020976764725399e-06
  1.1999999999999494e-01, -4.5877760179220684e-04, -1.2270197023372853e-05
  1.2999999999999384e-01, -4.0234673340840826e-04, -1.7167123019714661e-05
  1.3999999999999274e-01, -3.4194789498474820e-04, -2.1495253772351288e-05
  1.4999999999999164e-01, -2.8223659479726521e-04, -2.4940043158515842e-05
  1.5999999999999054e-01, -2.2722284318533320e-04, -2.7284787353047796e-05
  1.6999999999998944e-01, -1.8002413937481809e-04, -2.8415240448748353e-05
  1.7999999999998834e-01, -1.4273851369485391e-04, -2.8315585446127641e-05
  1.8999999999998723e-01, -1.1642917700728506e-04, -2.7056202314105833e-05
  1.9999999999998613e-01, -1.0120353312484398e-04, -2.4776276297347124e-05
  2.0999999999998503e-01, -9.6364436010236421e-05, -2.1664018522255389e-05
  2.1999999999998393e-01, -1.0060529148883668e-04, -1.7937956545207139e-05
  2.2999999999998283e-01, -1.1222213992813368e-04, -1.3828366755300753e-05
  2.3999999999998173e-01, -1.2933126584636218e-04, -9.5583956064925846e-06
  2.4999999999998063e-01, -1.5006101267589500e-04, -5.3284832387353824e-06
  2.5999999999997953e-01, -1.7270086740103080e-04, -1.3075239513061761e-06
  2.6999999999997842e-01, -1.9580478298094478e-04,  2.3726274559978710e-06
  2.7999999999997732e-01, -2.1824942199491493e-04,  5.6190185029937817e-06
  2.8999999999997622e-01, -2.3925215631930008e-04,  8.3763531211618676e-06
  2.9999999999997512e-01, -2.5835578928052466e-04,  1.0623359943747157e-05
  3.0999999999997402e-01, -2.7538812574174482e-04,  1.2367542951879043e-05
  3.1999999999997292e-01, -2.9040489657791019e-04,  1.3639065734527425e-05
  3.2999999999997182e-01, -3.0362453788153332e-04,  1.4484338584118877e-05
  3.3999999999997071e-01, -3.1536212491156679e-04,  1.4959794213855711e-05
  3.4999999999996961e-01, -3.2596810423490830e-04,  1.5126222208410311e-05
  3.5999999999996851e-01, -3.3577674308882255e-04,  1.5044155120344623e-05
  3.6999999999996741e-01, -3.4506723037837361e-04,  1.4770388913037924e-05
  3.7999999999996631e-01, -3.5403809129998937e-04,  1.4355677430725508e-05
  3.8999999999996521e-01, -3.6279461436183186e-04,  1.3843216422026462e-05
  3.9999999999996411e-01, -3.7134990594508283e-04,  1.3268159404843623e-05
  4.0999999999996301e-01, -3.7963562720082222e-04,  1.2658324938455879e-05
  4.1999999999996190e-01, -3.8751856104761451e-04,  1.2035162847062655e-05
  4.2999999999996080e-01, -3.9482020787048877e-04,  1.1414833070243470e-05
  4.3999999999995970e-01, -4.0133746406480209e-04,  1.0809482447319105e-05
  4.4999999999995860e-01, -4.0686118309767039e-04,  1.0228631810084307e-05
  4.5999999999995750e-01, -4.1119201468947653e-04,  9.6796546965498894e-06
  4.6999999999995640e-01, -4.1415396586953063e-04,  9.1681421752080158e-06
  4.7999999999995530e-01, -4.1560452137470727e-04,  8.6981544359486760e-06
  4.8999999999995419e-01, -4.1544081942702926e-04,  8.2722971176304254e-06
  4.9999999999995309e-01, -4.1360203455494127e-04,  7.8915577506475620e-06
  5.0999999999995205e-01, -4.1006766466734901e-04,  7.5451831284313828e-06
  5.1999999999995095e-01, -4.0485402894773620e-04,  7.1876354294094152e-06
  5.2999999999994984e-01, -3.9801725659995013e-04,  6.7723201051401678e-06
  5.3999999999994874e-01, -3.8964637110117106e-04,  6.2593960471329184e-06
  5.4999999999994764e-01, -3.7985433939657226e-04,  5.6146355705203438e-06
  5.5999999999994654e-01, -3.6876962718888212e-04,  4.8088832073160919e-06
  5.6999999999994544e-01, -3.5652849646321261e-04,  3.8156190550000090e-06
  5.7999999999994434e-01, -3.4326781516317434e-04,  2.6150475761934985e-06
  5.8999999999994324e-01, -3.2911748438976124e-04,  1.1941306989528455e-06
  5.9999999999994214e-01, -3.1419570986443435e-04, -4.5511415181586264e-07
  6.0999999999994103e-01, -2.9860580569181921e-04, -2.3359423681783325e-06
  6.1999999999993993e-01, -2.8243435276596729e-04, -4.4472336098756938e-06
  6.2999999999993883e-01, -2.6575073025556645e-04, -6.7838727880790480e-06
  6.3999999999993773e-01, -2.4860786727046863e-04, -9.3371373565650552e-06
  6.4999999999993663e-01, -2.3104393143737190e-04, -1.2095075429107766e-05
  6.5999999999993553e-01, -2.1308459863007140e-04, -1.5042873541662346e-05
  6.6999999999993443e-01, -1.9474553588526983e-04, -1.8163222978408770e-05
  6.7999999999993332e-01, -1.7603476811920565e-04, -2.1436697470664187e-05
  6.8999999999993222e-01, -1.5695467256617718e-04, -2.4842152919025482e-05
  6.9999999999993112e-01, -1.3750343532028392e-04, -2.8357154320319076e-05
  7.0999999999993002e-01, -1.1767589625585190e-04, -3.1958428413975649e-05
  7.1999999999992892e-01, -9.7463790166056608e-05, -3.5622334324898067e-05
  7.2999999999992782e-01, -7.6855455782495752e-05, -3.9325339933999142e-05
  7.3999999999992672e-01, -5.5835182707089648e-05, -4.3049751140266964e-05
  7.4999999999992562e-01, -3.4382834818318109e-05, -4.6802058604115881e-05
  7.5999999999992451e-01, -1.2473063214051006e-05, -5.0593343994295392e-05
  7.6999999999992341e-01,  9.9265791346364596e-06, -5.4432842477594777e-05
  7.7999999999992231e-01,  3.2857888421923553e-05, -5.8328640648969409e-05
  7.8999999999992121e-01,  5.6374393637641240e-05, -6.2287946390206147e-05
  7.9999999999992011e-01,  8.0543727255869002e-05, -6.6317223420877104e-05
  8.0999999999991901e-01,  1.0544986492667247e-04, -7.0422349283300333e-05
  8.1999999999991791e-01,  1.3119514836255897e-04, -7.4608853274308294e-05
  8.2999999999991680e-01,  1.5790204497417859e-04, -7.8882225113221488e-05
  8.3999999999991570e-01,  1.8571464831994983e-04, -8.3248247183913081e-05
  8.4999999999991460e-01,  2.1479996819433189e-04, -8.7713297622229886e-05
  8.5999999999991350e-01,  2.4534907291125924e-04, -9.2284591303760065e-05
  8.6999999999991240e-01,  2.7757813875806114e-04, -9.6970348209815760e-05
  8.7999999999991130e-01,  3.1172945871541652e-04, -1.0177989348122705e-04
  8.8999999999991020e-01,  3.4807246603930225e-04, -1.0672370372821334e-04
  8.9999999999990909e-01,  3.8690482703307438e-04, -1.1181341564457904e-04
  9.0999999999990799e-01,  4.2855373882243891e-04, -1.1706197976100760e-04
  9.1999999999990689e-01,  4.7337751962943375e-04, -1.2248347062626477e-04
  9.2999999999990579e-01,  5.2176636615456490e-04, -1.2809261063993351e-04
  9.3999999999990469e-01,  5.7414410711833369e-04, -1.3390516171128897e-04
  9.4999999999990359e-01,  6.3097026699384523e-04, -1.3993780666231496e-04
  9.5999999999990249e-01,  6.9274209729835307e-04, -1.4620802001068651e-04
  9.6999999999990139e-01,  7.5999676178354486e-04, -1.5273394422253984e-04
  9.7999999999990028e-01,  8.3331365241862132e-04, -1.5953426679000583e-04
  9.8999999999989918e-01,  9.1331680733010290e-04, -1.6662809535938547e-04
  9.9999999999989808e-01,  1.0006774044495487e-03, -1.7403482980587825e-04
  1.0099999999999192e+00,  1.0961163103117011e-03, -1.8177403240120167e-04
  1.0199999999999403e+00,  1.2004066702378732e-03, -1.8986529893983887e-04
  1.0299999999999614e+00,  1.3143765326355250e-03, -1.9832813487792632e-04
  1.0399999999999825e+00,  1.4389115057001842e-03, -2.0718184100088077e-04
  1.0500000000000036e+00,  1.5749574489343082e-03, -2.1644541300424523e-04
  1.0600000000000247e+00,  1.7235232047027871e-03, -2.2613745893634548e-04
  1.0700000000000458e+00,  1.8856833764384143e-03, -2.3627613760116196e-04
  1.0800000000000669e+00,  2.0625811604213437e-03, -2.4687912034292359e-04
  1.0900000000000880e+00,  2.2554312374657437e-03, -2.5796357731417254e-04
  1.1000000000001091e+00,  2.4655227295727958e-03, -2.6954618866571468e-04
  1.1100000000001302e+00,  2.6942222441399405e-03, -2.8164320295667700e-04
  1.1200000000001513e+00,  2.9429770898832808e-03, -2.9427048591295675e-04
  1.1300000000001724e+00,  3.2133182501224850e-03, -3.0744350354490550e-04
  1.1400000000001935e+00,  3.5068635292064831e-03, -3.2117751086896884e-04
  1.1500000000002146e+00,  3.8253208960543350e-03, -3.3548766324670710e-04
  1.1600000000002357e+00,  4.1704918657356968e-03, -3.5038913524866860e-04
  1.1700000000002568e+00,  4.5442749249453296e-03, -3.6589724908763996e-04
  1.1800000000002779e+00,  4.9486690042706075e-03, -3.8202760772942370e-04
  1.1900000000002990e+00,  5.3857769947320347e-03, -3.9879622762952540e-04
  1.2000000000003201e+00,  5.8578093023061717e-03, -4.1621966645816416e-04
  1.2100000000003412e+00,  6.3670874322576398e-03, -4.3431514173353285e-04
  1.2200000000003624e+00,  6.9160475949886155e-03, -4.5310063655790763e-04
  1.2300000000003835e+00,  7.5072443258236629e-03, -4.7259499000676944e-04
  1.2400000000004046e+00,  8.1433541124888015e-03, -4.9281796942749346e-04
  1.2500000000004257e+00,  8.8271790252078611e-03, -5.1379032335586809e-04
  1.2600000000004468e+00,  9.5616503454085330e-03, -5.3553381345439156e-04
  1.2700000000004679e+00,  1.0349832189593337e-02, -5.5807122508538614e-04
  1.2800000000004890e+00,  1.1194925125201302e-02, -5.8142635601409897e-04
  1.2900000000005101e+00,  1.2100269775166268e-02, -6.0562398350436932e-04
  1.3000000000005312e+00,  1.3069350407525639e-02, -6.3068981034568306e-04
  1.3100000000005523e+00,  1.4105798506343241e-02, -6.5665039212093408e-04
  1.3200000000005734e+00,  1.5213396314444509e-02, -6.8353309778043322e-04
  1.3300000000005945e+00,  1.6396080151761833e-02, -7.1136623273349660e-04
  1.3400000000006156e+00,  1.7657942976648272e-02, -7.4017923127266203e-04
  1.3500000000006367e+00,  1.9003235714040466e-02, -7.7004426787210449e-04
  1.3600000000006578e+00,  2.0436374705204971e-02, -8.0124533479996284e-04
  1.3700000000006789e+00,  2.1961988734145156e-02, -8.3413877926195358e-04
  1.3800000000007000e+00,  2.3585004034353076e-02, -8.6909837962134066e-04
  1.3900000000007211e+00,  2.5310748465636738e-02, -9.0651030560932053e-04
  1.4000000000007422e+00,  2.7145065931846402e-02, -9.4672970850117363e-04
  1.4100000000007633e+00,  2.9094425878060846e-02, -9.9012452504903463e-04
  1.4200000000007844e+00,  3.1166025515322743e-02, -1.0370763112050763e-03
  1.4300000000008055e+00,  3.3367884560448126e-02, -1.0879243133537233e-03
  1.4400000000008266e+00,  3.5708920878368529e-02, -1.1430154869137938e-03
  1.4500000000008477e+00,  3.8199011880540250e-02, -1.2026734806390156e-03
  1.4600000000008688e+00,  4.0849043227290931e-02, -1.2671916147716689e-03
  1.4700000000008899e+00,  4.3670945020818051e-02, -1.3368344880519941e-03
  1.4800000000009110e+00,  4.6677722165889723e-02, -1.4117974223535814e-03
  1.4900000000009321e+00,  4.9883476630878214e-02, -1.4922329373800193e-03
  1.5000000000009532e+00,  5.3303433535160573e-02, -1.5782208271773622e-03
  1.5100000000009743e+00,  5.6953968997344291e-02, -1.6697543439559061e-03
  1.5200000000009954e+00,  6.0852624147773059e-02, -1.7666582099274183e-03
  1.5300000000010165e+00,  6.5018069148959884e-02, -1.8686865033976947e-03
  1.5400000000010376e+00,  6.9470007125560451e-02, -1.9755594552198566e-03
  1.5500000000010588e+00,  7.4229016425254757e-02, -2.0869624719502583e-03
  1.5600000000010799e+00,  7.9316356943582009e-02, -2.2025431747255911e-03
  1.5700000000011010e+00,  8.4753762626034082e-02, -2.3218862333799265e-03
  1.5800000000011221e+00,  9.0563229554580210e-02, -2.4445177922999533e-03
  1.5900000000011432e+00,  9.6766808346374814e-02, -2.5698913636281410e-03
  1.6000000000011643e+00,  1.0338640722356919e-01, -2.6973820734988701e-03
  1.6100000000011854e+00,  1.1044360808252625e-01, -2.8262662585840691e-03
  1.6200000000012065e+00,  1.1795948698150521e-01, -2.9557000373706260e-03
  1.6300000000012276e+00,  1.2595440896950311e-01, -3.0846912468186511e-03
