time,x,y
  4.1699999999969508e+00,  1.5015061692436722e+01,  1.5041831853147475e-01
  4.1799999999969275e+00,  1.5106483921400711e+01,  1.5154719512889067e-01
  4.1899999999969042e+00,  1.5198019009732691e+01,  1.5267788005601787e-01
  4.1999999999968809e+00,  1.5289665230331682e+01,  1.5381021154811977e-01
  4.2099999999968576e+00,  1.5381420904627781e+01,  1.5494403578529775e-01
  4.2199999999968343e+00,  1.5473284401473235e+01,  1.5607920735749889e-01
  4.2299999999968110e+00,  1.5565254135850351e+01,  1.5721558962649113e-01
  4.2399999999967877e+00,  1.5657328567447776e+01,  1.5835305499052044e-01
  4.2499999999967644e+00,  1.5749506199158397e+01,  1.5949148505652477e-01
  4.2599999999967411e+00,  1.5841785575546822e+01,  1.6063077072566034e-01
  4.2699999999967178e+00,  1.5934165281326004e+01,  1.6177081219764439e-01
  4.2799999999966944e+00,  1.6026643939872034e+01,  1.6291151890013880e-01
  4.2899999999966711e+00,  1.6119220211796367e+01,  1.6405280934971489e-01
  4.2999999999966478e+00,  1.6211892793585690e+01,  1.6519461095092869e-01
  4.3099999999966245e+00,  1.6304660416313194e+01,  1.6633685974037390e-01
  4.3199999999966012e+00,  1.6397521844419614e+01,  1.6747950008261589e-01
  4.3299999999965779e+00,  1.6490475874559646e+01,  1.6862248432474325e-01
  4.3399999999965546e+00,  1.6583521334507484e+01,  1.6976577241628546e-01
  4.3499999999965313e+00,  1.6676657082114545e+01,  1.7090933150096640e-01
  4.3599999999965080e+00,  1.6769882004312638e+01,  1.7205313548658357e-01
  4.3699999999964847e+00,  1.6863195016156631e+01,  1.7319716459869183e-01
  4.3799999999964614e+00,  1.6956595059901506e+01,  1.7434140492354896e-01
  4.3899999999964381e+00,  1.7050081104110241e+01,  1.7548584794521999e-01
  4.3999999999964148e+00,  1.7143652142789445e+01,  1.7663049008122272e-01
  4.4099999999963915e+00,  1.7237307194551001e+01,  1.7777533222112774e-01
  4.4199999999963682e+00,  1.7331045301798646e+01,  1.7892037927146195e-01
  4.4299999999963449e+00,  1.7424865529938526e+01,  1.8006563971066541e-01
  4.4399999999963216e+00,  1.7518766966613860e+01,  1.8121112515678900e-01
  4.4499999999962982e+00,  1.7612748720963271e+01,  1.8235684995064469e-01
  4.4599999999962749e+00,  1.7706809922903293e+01,  1.8350283075649906e-01
  4.4699999999962516e+00,  1.7800949722434559e+01,  1.8464908618174514e-01
  4.4799999999962283e+00,  1.7895167288972015e+01,  1.8579563641732372e-01
  4.4899999999962050e+00,  1.7989461810699030e+01,  1.8694250289965283e-01
  4.4999999999961817e+00,  1.8083832493945405e+01,  1.8808970799499014e-01
  4.5099999999961584e+00,  1.8178278562588726e+01,  1.8923727470704479e-01
  4.5199999999961351e+00,  1.8272799257478461e+01,  1.9038522640792296e-01
  4.5299999999961118e+00,  1.8367393835881405e+01,  1.9153358659248590e-01
  4.5399999999960885e+00,  1.8462061570948112e+01,  1.9268237865579327e-01
  4.5499999999960652e+00,  1.8556801751199117e+01,  1.9383162569339377e-01
  4.5599999999960419e+00,  1.8651613680030646e+01,  1.9498135032391892e-01
  4.5699999999960186e+00,  1.8746496675239136e+01,  1.9613157453335253e-01
  4.5799999999959953e+00,  1.8841450068563784e+01,  1.9728231954028719e-01
  4.5899999999959720e+00,  1.8936473205246710e+01,  1.9843360568134097e-01
  4.5999999999959487e+00,  1.9031565443610187e+01,  1.9958545231563846e-01
  4.6099999999959254e+00,  1.9126726154649770e+01,  2.0073787774743809e-01
  4.6199999999959021e+00,  1.9221954721643119e+01,  2.0189089916556435e-01
  4.6299999999958787e+00,  1.9317250539773998e+01,  2.0304453259846222e-01
  4.6399999999958554e+00,  1.9412613015770951e+01,  2.0419879288375034e-01
  4.6499999999958321e+00,  1.9508041567560429e+01,  2.0535369365097786e-01
  4.6599999999958088e+00,  1.9603535623933734e+01,  2.0650924731656142e-01
  4.6699999999957855e+00,  1.9699094624227207e+01,  2.0766546508970368e-01
  4.6799999999957622e+00,  1.9794718018015178e+01,  2.0882235698809232e-01
  4.6899999999957389e+00,  1.9890405264814799e+01,  2.0997993186219421e-01
  4.6999999999957156e+00,  1.9986157768940149e+01,  2.1113626377374756e-01
  4.7099999999956923e+00,  2.0082269540460647e+01,  2.1224416608847008e-01
  4.7199999999956690e+00,  2.0178957171143736e+01,  2.1334774643395324e-01
  4.7299999999956457e+00,  2.0276238655336595e+01,  2.1444581682748981e-01
  4.7399999999956224e+00,  2.0374085108727108e+01,  2.1553911739775813e-01
  4.7499999999955991e+00,  2.0472428471783228e+01,  2.1662971737636047e-01
  4.7599999999955758e+00,  2.0571179635398629e+01,  2.1772031616502222e-01
  4.7699999999955525e+00,  2.0670248705166188e+01,  2.1881358404373233e-01
  4.7799999999955292e+00,  2.0769561387854093e+01,  2.1991183229337632e-01
  4.7899999999955059e+00,  2.0869064629891930e+01,  2.2101687448716462e-01
  4.7999999999954825e+00,  2.0968726353480612e+01,  2.2213003458161773e-01
  4.8099999999954592e+00,  2.1068531460434993e+01,  2.2325221011560423e-01
  4.8199999999954359e+00,  2.1168477805984836e+01,  2.2438404471719151e-01
